Objects
100
,,Global Angle PrototypePayload623:PrototypePayload623,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
87,0,0.003520,-0.000769,-0.008469,314.987274,48.592247,208.572006
88,0,0.003535,-0.000778,-0.008472,314.976440,48.583591,208.569946
89,0,0.003582,-0.000788,-0.008464,314.975586,48.576832,208.556046
90,0,0.003580,-0.000755,-0.008431,314.974396,48.564518,208.566635
91,0,0.003653,-0.000742,-0.008446,314.956940,48.552940,208.573029
92,0,0.003681,-0.000802,-0.008419,314.952179,48.546791,208.557327
93,0,0.003687,-0.000804,-0.008422,314.944580,48.547016,208.572998
94,0,0.003715,-0.000804,-0.008397,314.940826,48.537292,208.587585
95,0,0.003740,-0.000835,-0.008407,314.937897,48.519650,208.578949
96,0,0.003757,-0.000828,-0.008367,314.934021,48.514034,208.577301
97,0,0.003803,-0.000787,-0.008359,314.922058,48.514763,208.593063
98,0,0.003829,-0.000794,-0.008315,314.923218,48.489647,208.600174
99,0,0.003806,-0.000820,-0.008307,314.917999,48.470184,208.595947
100,0,0.003847,-0.000827,-0.008305,314.922668,48.469616,208.584244
101,0,0.003805,-0.000853,-0.008318,314.919098,48.465984,208.595886
102,0,0.003782,-0.000869,-0.008336,314.909119,48.450535,208.609314
103,0,0.003781,-0.000836,-0.008334,314.909760,48.434963,208.604172
104,0,0.003788,-0.000822,-0.008338,314.913879,48.445438,208.586212
105,0,0.003742,-0.000868,-0.008328,314.913544,48.426716,208.593109
106,0,0.003729,-0.000791,-0.008339,314.912750,48.424488,208.592453
107,0,0.003770,-0.000804,-0.008378,314.920013,48.424366,208.586395
108,0,0.003712,-0.000796,-0.008367,314.928162,48.441010,208.566498
109,0,0.003708,-0.000784,-0.008399,314.928467,48.442005,208.579590
110,0,0.003626,-0.000823,-0.008447,314.942780,48.443699,208.582321
111,0,0.003641,-0.000785,-0.008467,314.947723,48.463394,208.572128
112,0,0.003613,-0.000769,-0.008466,314.948944,48.464310,208.554398
113,0,0.003567,-0.000796,-0.008481,314.962006,48.480152,208.544403
114,0,0.003532,-0.000785,-0.008523,314.972412,48.486416,208.569656
