Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
457,0,-0.002258,-0.002721,-0.009505,419.880585,3.469259,315.331879
458,0,-0.002094,-0.002386,-0.009186,421.790192,2.871525,317.269135
459,0,-0.002049,-0.002104,-0.009290,423.573914,2.322125,319.241058
460,0,-0.002015,-0.001821,-0.009527,425.297394,1.849844,321.241119
461,0,-0.002509,-0.002052,-0.009059,427.131592,1.282010,323.265717
462,0,-0.002446,-0.001813,-0.009127,428.878662,0.826944,325.376495
463,0,-0.001962,-0.002351,-0.008651,430.816895,0.434888,327.479401
464,0,-0.001715,-0.002643,-0.008965,432.678436,-0.034926,329.594482
465,0,-0.001638,-0.002675,-0.009333,434.485291,-0.521634,331.696198
466,0,-0.001609,-0.002562,-0.009499,436.308380,-0.967561,333.725128
467,0,-0.001485,-0.002717,-0.009584,438.173737,-1.360495,335.714691
468,0,-0.001595,-0.002699,-0.009835,439.984528,-1.749082,337.720673
469,0,-0.002470,-0.002308,-0.010046,441.695801,-2.292359,339.812805
470,0,-0.002532,-0.002324,-0.009959,443.522552,-2.607298,341.941620
471,0,-0.002509,-0.002583,-0.009934,445.363007,-2.892465,344.152405
472,0,-0.002096,-0.002706,-0.010037,447.208923,-3.039557,346.349731
473,0,-0.002016,-0.002634,-0.009672,449.037689,-3.300111,348.509369
474,0,-0.002520,-0.001792,-0.009978,450.686981,-3.710386,350.572327
475,0,-0.002677,-0.002435,-0.009582,452.671692,-3.944981,352.676117
476,0,-0.002363,-0.001883,-0.010041,454.342468,-4.176713,354.682281
477,0,-0.002232,-0.001849,-0.010222,456.131104,-4.389435,356.746521
478,0,-0.002293,-0.002013,-0.010507,457.939728,-4.593735,358.883942
479,0,-0.002204,-0.002264,-0.010919,459.696838,-4.734590,361.005280
480,0,-0.002375,-0.002452,-0.011017,461.365845,-4.868763,363.105255
481,0,-0.002608,-0.002331,-0.011102,463.048615,-5.018030,365.213196
482,0,-0.003339,-0.003118,-0.010566,464.914246,-5.163863,367.461426
483,0,-0.003306,-0.003146,-0.010313,466.674866,-5.235281,369.683990
484,0,-0.003342,-0.003019,-0.010093,468.461700,-5.282587,371.878784
485,0,-0.003180,-0.002172,-0.010625,470.093201,-5.346480,374.087097
486,0,-0.003177,-0.003060,-0.010380,472.081635,-5.351306,376.318695
487,0,-0.002692,-0.003363,-0.010498,473.928467,-5.287915,378.464935
488,0,-0.002420,-0.002940,-0.011297,475.580353,-5.200977,380.569702
489,0,-0.002372,-0.003110,-0.011454,477.339539,-5.043682,382.716156
490,0,-0.002505,-0.003252,-0.011430,479.043518,-4.869005,384.920807
491,0,-0.003102,-0.003186,-0.011452,480.727783,-4.641315,387.173553
492,0,-0.003776,-0.003130,-0.011490,482.380280,-4.370935,389.424255
493,0,-0.004268,-0.003250,-0.011452,483.989075,-4.076571,391.712006
494,0,-0.004647,-0.003323,-0.011614,485.577148,-3.798778,393.959778
495,0,-0.004632,-0.003502,-0.011842,487.218079,-3.482848,396.214417
496,0,-0.004389,-0.003638,-0.011835,488.886139,-3.142117,398.406311
497,0,-0.003960,-0.003677,-0.012024,490.514130,-2.814846,400.632965
498,0,-0.003434,-0.003498,-0.011920,492.153290,-2.447297,402.809601
499,0,-0.003014,-0.003232,-0.011711,493.744202,-2.055667,404.993042
500,0,-0.002802,-0.003164,-0.011584,495.320068,-1.584241,407.196136
501,0,-0.002850,-0.003372,-0.011609,496.803284,-1.121575,409.439545
502,0,-0.003011,-0.003594,-0.011749,498.238770,-0.528010,411.737366
503,0,-0.002738,-0.004309,-0.011968,499.717438,0.249866,414.053772
504,0,-0.003484,-0.004360,-0.012472,501.050995,0.762690,416.407288
505,0,-0.003678,-0.004583,-0.012824,502.476807,1.509231,418.733276
506,0,-0.003647,-0.004534,-0.012968,503.905640,2.369960,421.018921
507,0,-0.003826,-0.004359,-0.012756,505.309357,3.264493,423.283997
508,0,-0.003706,-0.004279,-0.012481,506.759277,4.219650,425.525787
509,0,-0.003587,-0.004089,-0.012001,508.163025,5.213368,427.762787
510,0,-0.003489,-0.004096,-0.011424,509.498657,6.276104,429.959686
511,0,-0.003148,-0.004323,-0.011509,510.802094,7.360022,432.203918
512,0,-0.002950,-0.004555,-0.011563,512.065308,8.514777,434.444427
513,0,-0.003013,-0.004587,-0.011920,513.242859,9.731166,436.707855
514,0,-0.003265,-0.004779,-0.012325,514.374268,10.949711,438.963959
515,0,-0.003535,-0.004823,-0.012558,515.419983,12.230785,441.203278
516,0,-0.003815,-0.004829,-0.012479,516.443542,13.557016,443.390991
517,0,-0.004069,-0.004867,-0.012262,517.439758,14.932261,445.552948
518,0,-0.004134,-0.004974,-0.011867,518.434204,16.394079,447.683350
519,0,-0.003970,-0.004782,-0.011565,519.383179,17.899410,449.880188
520,0,-0.003387,-0.004929,-0.011569,520.365540,19.508852,452.064545
521,0,-0.003063,-0.004746,-0.011487,521.271606,21.147562,454.269043
522,0,-0.002747,-0.004953,-0.011617,522.135986,22.822968,456.403137
523,0,-0.002602,-0.004822,-0.011848,522.957642,24.573082,458.460663
524,0,-0.002889,-0.005108,-0.011954,523.662842,26.341805,460.432983
525,0,-0.003111,-0.005248,-0.012087,524.293579,28.189812,462.329712
526,0,-0.003495,-0.005468,-0.012023,524.865601,30.098131,464.224304
527,0,-0.003857,-0.005635,-0.011984,525.375305,32.047947,466.117279
528,0,-0.004181,-0.005876,-0.011886,525.808960,34.102909,468.077332
529,0,-0.004004,-0.006017,-0.012215,526.220642,36.142342,469.960724
530,0,-0.003707,-0.006073,-0.012339,526.580261,38.233238,471.874420
531,0,-0.003427,-0.006228,-0.012419,526.921570,40.342518,473.688690
532,0,-0.003163,-0.006111,-0.012538,527.242676,42.445198,475.452698
533,0,-0.003003,-0.006188,-0.012792,527.519592,44.626427,477.192261
534,0,-0.002959,-0.006183,-0.012581,527.721802,46.759460,478.824707
535,0,-0.003213,-0.006197,-0.012539,527.911987,48.947525,480.479980
536,0,-0.003447,-0.006280,-0.012553,527.977417,51.145149,482.129364
537,0,-0.003678,-0.006396,-0.012700,527.994873,53.388287,483.809265
538,0,-0.003773,-0.006665,-0.012864,527.927856,55.663940,485.455109
539,0,-0.003668,-0.006891,-0.013020,527.779297,57.957520,487.158752
540,0,-0.003442,-0.007088,-0.013118,527.623108,60.325367,488.791748
541,0,-0.003201,-0.007128,-0.013069,527.405884,62.687473,490.294769
542,0,-0.002866,-0.007095,-0.012913,527.145569,65.074677,491.723694
543,0,-0.002553,-0.007067,-0.012624,526.885376,67.497238,493.096283
544,0,-0.002617,-0.006826,-0.012357,526.612244,69.852036,494.433350
545,0,-0.002492,-0.006716,-0.012216,526.348755,72.199326,495.760559
546,0,-0.002410,-0.006891,-0.012239,526.052856,74.568718,497.127502
547,0,-0.002205,-0.006993,-0.012435,525.680664,76.925827,498.499634
548,0,-0.002047,-0.006958,-0.012637,525.269287,79.304047,499.855408
549,0,-0.002046,-0.007012,-0.012735,524.815186,81.664871,501.129791
